番号,句
1,黒き死を袋に入れて置いてくる
2,ようちしやとがくしゆういんとなつのやみ
3,解剖の蛙・マクベス夫人症
4,天地創造少し狸を増やしけり
5,「まだ円で貯金してるの」鎌鼬
6,落椿ここから先は地図になき
7,玉葱に挽肉を詰め焼ひたもの
8,中華人民共和国東京市
9,受験子の手を引く量産型の紺
